Index,Expression,Success_P,Avg_Time_P,Std_Time_P,Success_S,Avg_Time_S,Std_Time_S
39,(((((((((((((((((((((((((((((((((((((((804.91+162.20)+159.58)+57.72)+149.25)+468.10)+380.61)+883.70)+424.13)+412.25)+651.29)+308.33)+60.14)+814.42)+897.66)+919.49)+901.22)+770.05)+170.80)+572.44)+31.40)+803.27)+522.21)+861.62)+277.20)+869.49)+586.86)+389.17)+811.90)+525.67)+939.87)+420.04)+579.86)+749.15)+880.78)+338.08)+189.55)+743.13)+718.92)+879.16),0,40,2.22928,0,12.75,1.0088
40,((((((((((((((((((((((((((((((((((((((((72.87+710.11)+879.06)+359.38)+89.85)+161.03)+416.80)+96.43)+674.69)+562.61)+813.05)+878.19)+769.36)+635.21)+896.52)+878.41)+486.47)+113.07)+377.48)+382.62)+687.58)+121.74)+76.82)+143.30)+477.64)+708.59)+238.02)+390.97)+975.88)+628.77)+681.20)+908.69)+362.40)+859.21)+794.28)+428.87)+73.51)+498.63)+483.87)+450.73)+499.66),0,44.64,15.7535,0,14.73,6.88411
41,(((((((((((((((((((((((((((((((((((((((((740.76+932.84)+300.12)+146.20)+110.02)+80.32)+972.48)+408.18)+238.41)+963.16)+833.47)+198.08)+129.48)+196.31)+339.12)+575.68)+440.27)+585.67)+432.88)+368.20)+382.32)+600.13)+429.47)+148.79)+670.20)+995.40)+698.07)+402.74)+849.28)+819.53)+793.38)+374.25)+9.61)+479.78)+639.06)+646.50)+644.90)+799.03)+377.36)+357.67)+389.50)+334.31),0,42.52,1.00985,0,13.54,0.86946
42,((((((((((((((((((((((((((((((((((((((((((693.59+144.90)+291.53)+666.86)+854.37)+314.70)+144.14)+602.25)+5.59)+920.83)+381.95)+516.53)+344.46)+264.13)+291.00)+833.65)+124.39)+634.62)+48.70)+458.05)+376.82)+155.87)+755.86)+665.97)+11.53)+794.88)+560.91)+288.65)+415.56)+320.61)+514.59)+719.16)+842.04)+231.90)+465.01)+373.36)+50.04)+73.85)+202.45)+566.18)+831.52)+422.55)+839.55),0,45.34,13.2263,0,14.53,2.37604
43,(((((((((((((((((((((((((((((((((((((((((((293.04+181.20)+357.53)+934.11)+589.42)+369.04)+463.06)+627.83)+944.45)+405.79)+50.48)+444.85)+595.93)+748.31)+864.17)+131.02)+104.58)+665.31)+833.38)+581.29)+658.59)+982.03)+18.92)+921.47)+194.68)+967.72)+523.07)+278.80)+719.79)+590.46)+837.08)+834.69)+659.89)+730.45)+643.03)+349.53)+534.88)+664.15)+323.43)+869.19)+442.37)+917.97)+276.67)+951.75),0,45.59,8.19842,0,14.81,2.64268
44,((((((((((((((((((((((((((((((((((((((((((((117.24+416.01)+836.38)+962.54)+332.93)+526.18)+535.96)+818.11)+929.89)+662.89)+243.23)+941.43)+596.72)+126.03)+246.97)+886.73)+196.18)+162.96)+836.00)+602.41)+623.24)+838.68)+671.65)+391.56)+871.28)+667.35)+115.61)+0.04)+676.07)+628.75)+454.55)+574.35)+32.27)+351.39)+855.08)+370.84)+661.43)+576.43)+59.96)+744.47)+279.49)+442.62)+176.42)+91.80)+897.24),0,45.48,4.52486,0,15.17,2.82505
45,(((((((((((((((((((((((((((((((((((((((((((((992.42+594.16)+33.00)+690.93)+487.21)+569.34)+895.72)+434.50)+688.59)+203.16)+481.72)+272.44)+947.12)+244.30)+953.26)+476.95)+127.09)+961.44)+857.16)+217.41)+7.01)+782.47)+50.39)+960.05)+641.37)+573.40)+137.09)+129.04)+824.63)+501.85)+655.89)+505.06)+526.45)+118.40)+903.06)+668.90)+277.59)+386.71)+391.49)+831.10)+243.00)+123.44)+728.31)+648.08)+201.22)+848.70),0,61.32,30.7722,0,20.35,12.655
46,((((((((((((((((((((((((((((((((((((((((((((((22.56+105.56)+187.98)+360.97)+779.66)+719.20)+666.36)+580.97)+351.17)+157.15)+292.09)+169.11)+223.70)+671.35)+404.77)+886.51)+579.36)+341.85)+437.24)+699.64)+834.28)+791.98)+849.07)+282.22)+264.66)+169.96)+533.53)+73.18)+998.74)+750.17)+122.22)+164.60)+425.11)+773.20)+213.57)+433.93)+33.08)+929.32)+106.04)+266.29)+482.05)+792.78)+257.52)+213.92)+282.46)+380.63)+208.12),0,54.94,22.3389,0,18.43,9.14116
47,(((((((((((((((((((((((((((((((((((((((((((((((928.53+764.06)+616.56)+575.85)+356.33)+907.85)+197.90)+114.11)+791.14)+698.16)+18.25)+747.97)+114.53)+894.96)+654.63)+345.89)+382.41)+215.05)+331.29)+17.79)+914.37)+785.47)+393.45)+729.98)+831.55)+877.80)+129.61)+343.42)+942.07)+362.19)+352.06)+80.66)+571.89)+776.39)+844.20)+493.30)+817.32)+642.73)+435.38)+352.31)+349.16)+281.54)+919.12)+626.15)+744.58)+157.54)+776.42)+251.96),0,53.59,20.4545,0,17.3,7.30089
48,((((((((((((((((((((((((((((((((((((((((((((((((612.06+854.60)+314.61)+608.44)+125.92)+373.66)+133.29)+261.86)+126.03)+202.82)+750.52)+70.95)+458.91)+963.24)+234.68)+197.52)+683.95)+81.33)+854.24)+152.56)+120.18)+809.12)+944.19)+45.52)+60.26)+829.72)+141.18)+801.17)+227.49)+399.21)+599.19)+655.21)+53.73)+986.36)+812.31)+413.58)+31.84)+108.05)+974.47)+867.12)+671.08)+834.37)+238.22)+716.94)+589.71)+222.54)+227.76)+1.57)+447.81),0,51.5,17.0587,0,17.39,7.26538
